Supplemental Table S4.  Percent habitat change and Percent Richness chanage modeled for IFIM sites for flow reduction scenarios 10% through 50%. [See table 4 in the text for IFIM site information.,,,,,,
Flow Reduction Scenario,IFIM site name,flow,N Rows (number of habitat fish guild metrics included in the analysis),Median Percent Change Habitat,Percent Richness change from HUC8 ELF,Ratio %TaxaLoss:%habChange
50% flow reduction,Dunlap,Nov,20,-24.99,-2.87,-0.11
50% flow reduction,North Anna Coastal Plain,Nov,12,-42.5,-3.91,-0.09
50% flow reduction,North Anna Fall Zone,Nov,13,-37.75,-3.91,-0.1
50% flow reduction,North Anna Piedmont,Nov,13,-22.65,-3.92,-0.17
50% flow reduction,Plains Mill,Nov,5,-28.05,-7.74,-0.28
50% flow reduction,Craig,Oct,20,-10.68,-2.47,-0.23
50% flow reduction,Dunlap,Oct,20,-32.16,-2.54,-0.08
50% flow reduction,North Anna Coastal Plain,Oct,12,-46.44,-3.7,-0.08
50% flow reduction,North Anna Fall Zone,Oct,13,-38.53,-3.69,-0.1
50% flow reduction,North Anna Piedmont,Oct,13,-23.32,-3.71,-0.16
50% flow reduction,Plains Mill,Oct,5,-31.77,-6.08,-0.19
50% flow reduction,Craig,Sep,20,-18.63,-3.26,-0.17
50% flow reduction,Dunlap,Sep,20,-33.25,-3.38,-0.1
50% flow reduction,North Anna Coastal Plain,Sep,12,-46.72,-3.9,-0.08
50% flow reduction,North Anna Fall Zone,Sep,13,-40.11,-3.89,-0.1
50% flow reduction,North Anna Piedmont,Sep,13,-24.4,-3.91,-0.16
50% flow reduction,Plains Mill,Sep,5,-32.92,-7.34,-0.22
